Text,Count,Weight
Cl1603,1,0.000347826
Cl1611,1,0.000347826
Cl1616,1,0.000347826
Cl1619,1,0.000347826
Cl1643,1,0.000347826
Cl1645,1,0.000347826
Cl1646,1,0.000347826
Cl165,1,0.000347826
Cl1651,1,0.000347826
Cl1653,1,0.000347826
Cl1656,1,0.000347826
Cl1657,1,0.000347826
Cl1659,1,0.000347826
Cl1662,1,0.000347826
Cl1669,1,0.000347826
Cl167,1,0.000347826
Cl1670,1,0.000347826
Cl1672,1,0.000347826
Cl1674,1,0.000347826
Cl1676,1,0.000347826
Cl1677,1,0.000347826
Cl1678,1,0.000347826
Cl168,1,0.000347826
Cl1681,1,0.000347826
Cl1683,1,0.000347826
Cl1685,1,0.000347826
Cl1688,1,0.000347826
Cl1710,1,0.000347826
Cl1717,1,0.000347826
Cl1723,1,0.000347826
Cl1724,1,0.000347826
Cl1725,1,0.000347826
Cl1734,1,0.000347826
Cl1736,1,0.000347826
Cl1751,1,0.000347826
Cl1756,1,0.000347826
Cl1757,1,0.000347826
Cl1758,1,0.000347826
Cl1767,1,0.000347826
Cl197,1,0.000347826
Cl202,1,0.000347826
Cl483,1,0.000347826
Cl511,1,0.000347826
Claremont,1,0.000347826
Clarence,1,0.000347826
Clarendon,1,0.000347826
Clarene,1,0.000347826
Clarke,1,0.000347826
Clarkereet,1,0.000347826
Clarkesne,1,0.000347826
Clevene,1,0.000347826
Clifford,1,0.000347826
Clifton,1,0.000347826
Cliveden,1,0.000347826
Clowesreet,1,0.000347826
Clyde,1,0.000347826
Coatesne,1,0.000347826
Cobden,1,0.000347826
Cochrane,1,0.000347826
Cocker,1,0.000347826
Coghlan,1,0.000347826
Cohen,1,0.000347826
Coleman,1,0.000347826
Colganreet,1,0.000347826
Collettreet,1,0.000347826
Collins,1,0.000347826
Colonial,1,0.000347826
Commerce,1,0.000347826
Commissionersne,1,0.000347826
Walkway,1,0.000347826
Stationway,1,0.000347826
Connorsne,1,0.000347826
Constance,1,0.000347826
Stone,1,0.000347826
Contractorsne,1,0.000347826
